S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Belgaum(2),JAGADISH SHETTAR,762029,178437
2,Bagalkot(3),GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,671039,68399
3,Bijapur(4),RAMESH JIGAJINAGI,672781,77229
4,Haveri(10),BASAVARAJ BOMMAI,705538,43513
5,Dharwad(11),PRALHAD JOSHI,716231,97324
6,Uttara Kannada(12),VISHWESHWAR HEGDE KAGERI,782495,337428
7,Shimoga(14),B.Y.RAGHAVENDRA,778721,243715
8,Udupi Chikmagalur(15),KOTA SRINIVAS POOJARY,732234,259175
9,Dakshina Kannada(17),CAPTAIN BRIJESH CHOWTA,764132,149208
10,Chitradurga(18),GOVIND MAKTHAPPA KARJOL,684890,48121
11,Tumkur(19),V. SOMANNA,720946,175594
12,Mysore(21),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,795503,139262
13,Bangalore Rural(23),DR C N MANJUNATH,1079002,269647
14,Bangalore North(24),SHOBHA KARANDLAJE,986049,259476
15,Bangalore central(25),P C MOHAN,658915,32707
16,Bangalore South(26),TEJASVI SURYA,750830,277083
17,Chikkballapur(27),DR.K.SUDHAKAR,822619,163460
