S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Kasaragod(1),RAJMOHAN UNNITHAN,490659,100649
2,Kannur(2),K. SUDHAKARAN,518524,108982
3,Vadakara(3),SHAFI PARAMBIL,557528,114506
4,Wayanad(4),RAHUL GANDHI,647445,364422
5,Kozhikode(5),M. K. RAGHAVAN,520421,146176
6,Palakkad(8),V K SREEKANDAN,421169,75283
7,Chalakudy(11),BENNY BEHANAN,394171,63754
8,Ernakulam(12),HIBI EDEN,482317,250385
9,Idukki(13),ADV. DEAN KURIAKOSE,432372,133727
10,Alappuzha(15),K. C VENUGOPAL,404560,63513
11,Mavelikkara (16),KODIKUNNIL SURESH,369516,10868
12,Pathanamthitta(17),ANTO ANTONY,367623,66119
13,Attingal(19),ADV ADOOR PRAKASH,328051,684
14,Thiruvananthapuram(20),SHASHI THAROOR,358155,16077
