S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,MORENA(1),SHIVMANGAL SINGH TOMAR,515477,52530
2,BHIND(2),SANDHYA RAY,537065,64840
3,GWALIOR(3),BHARAT SINGH KUSHWAH,671535,70210
4,GUNA(4),JYOTIRADITYA M. SCINDIA,923302,540929
5,SAGAR(5),DR. LATA WANKHEDE,787979,471222
6,TIKAMGARH(6),DR. VIRENDRA KUMAR,715050,403312
7,DAMOH(7),RAHUL SINGH LODHI,709768,406426
8,KHAJURAHO(8),VISHNU DATT SHARMA (V.D.SHARMA),772774,541229
9,SATNA(9),GANESH SINGH,459728,84949
10,REWA(10),JANARDAN MISHRA,477459,193374
11,SIDHI(11),DR. RAJESH MISHRA,583559,206416
12,SHAHDOL(12),SMT. HIMADRI SINGH,711143,397340
13,JABALPUR(13),ASHISH DUBEY,790133,486674
14,MANDLA(14),FAGGAN SINGH KULASTE,751375,103846
15,BALAGHAT(15),BHARTI PARDHI,712660,174512
16,CHHINDWARA(16),BUNTY VIVEK SAHU,644738,113618
17,HOSHANGABAD(17),DARSHAN SINGH CHOUDHARY,812147,431696
18,VIDISHA(18),SHIVRAJ SINGH CHOUHAN,1116460,821408
19,BHOPAL(19),ALOK SHARMA,981109,501499
20,RAJGARH(20),RODMAL NAGAR,758743,146089
21,DEWAS(21),MAHENDRA SINGH SOLANKY,928941,425225
22,UJJAIN(22),ANIL FIROJIYA,836104,375860
23,MANDSOUR(23),SUDHEER GUPTA,945761,500655
24,RATLAM(24),ANITA NAGARSINGH CHOUHAN,795863,207232
25,DHAR(25),SAVITRI THAKUR,794449,218665
26,INDORE(26),SHANKAR LALWANI,1226751,1175092
27,KHARGONE(27),GAJENDRA SINGH PATEL,819863,135018
28,KHANDWA(28),GYANESHWAR PATIL,862679,269971
29,BETUL(29),DURGADAS (D. D.) UIKEY,848236,379761
