S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Nandurbar(1),ADV GOWAAL KAGADA PADAVI,745998,159120
2,Dhule(2),BACHHAV SHOBHA DINESH,583866,3831
3,Amravati (7),BALWANT BASWANT WANKHADE,526271,19731
4,Ramtek (9),Shyamkumar (Babalu) Daulat Barve,613025,76768
5,Bhandara Gondiya(11),DR. PRASHANT YADAORAO PADOLE,587413,37380
6,Gadchiroli - Chimur(12),DR. KIRSAN NAMDEO,617792,141696
7,Chandrapur(13),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,718410,260406
8,Nanded(16),CHAVAN VASANTRAO BALWANTRAO,528894,59442
9,Jalna(18),KALYAN VAIJINATHRAO KALE,607897,109958
10,Mumbai North Central(29),GAIKWAD VARSHA EKNATH,445545,16514
11,Latur (41),DR. KALGE SHIVAJI BANDAPPA,609021,61881
12,Solapur(42),PRANITI SUSHILKUMAR SHINDE,620225,74197
13,Kolhapur(47),CHHATRAPATI SHAHU SHAHAJI,754522,154964
