S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Bargarh(1),PRADEEP PUROHIT,716359,251667
2,Sundargarh(2),JUAL ORAM,494282,138808
3,Sambalpur(3),DHARMENDRA PRADHAN,592162,119836
4,Keonjhar(4),ANANTA NAYAK,573923,97042
5,Mayurbhanj(5),NABA CHARAN MAJHI,585971,219334
6,Balasore(6),PRATAP CHANDRA SARANGI,563865,147156
7,Bhadrak(7),AVIMANYU SETHI,573319,91544
8,Jajpur(8),RABINDRA NARAYAN BEHERA,534239,1587
9,Dhenkanal(9),RUDRA NARAYAN PANY,598721,76567
10,Bolangir(10),SANGEETA KUMARI SINGH DEO,617744,132664
11,Kalahandi(11),MALVIKA DEVI,544303,133813
12,Nabarangpur(12),BALABHADRA MAJHI,481396,87536
13,Kandhamal(13),SUKANTA KUMAR PANIGRAHI,416415,21371
14,Cuttack(14),BHARTRUHARI MAHTAB,531601,57077
15,Kendrapara(15),BAIJAYANT PANDA,615705,66536
16,Jagatsinghpur(16),BIBHU PRASAD TARAI,589093,40696
17,Puri(17),SAMBIT PATRA,629330,104709
18,Bhubaneswar(18),APARAJITA SARANGI,512519,35152
19,Aska(19),ANITA SUBHADARSHINI,494226,99974
20,Berhampur(20),DR. PRADEEP KUMAR PANIGRAHY,513102,165476
