S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,BIKANER (2),ARJUN RAM MEGHWAL,566737,55711
2,JAIPUR RURAL(6),RAO RAJENDRA SINGH,617877,1615
3,JAIPUR(7),MANJU SHARMA,886850,331767
4,ALWAR(8),BHUPENDER YADAV,631992,48282
5,AJMER (13),BHAGIRATH CHOUDHARY,747462,329991
6,PALI(15),P. P. CHAUDHARY,757389,245351
7,JODHPUR(16),GAJENDRA SINGH SHEKHAWAT,730056,115677
8,JALORE (18),LUMBARAM,796783,201543
9,UDAIPUR (19),MANNA LAL RAWAT,738286,261608
10,CHITTORGARH(21),CHANDRA PRAKASH JOSHI,888202,389877
11,RAJSAMAND(22),MAHIMA KUMARI MEWAR,781203,392223
12,BHILWARA(23),DAMODAR AGARWAL,807640,354606
13,KOTA(24),OM BIRLA,750496,41974
14,JHALAWAR-BARAN(25),DUSHYANT SINGH,865376,370989
