S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Amroha(9),KANWAR SINGH TANWAR,476506,28670
2,Meerut(10),ARUN GOVIL,546469,10585
3,Ghaziabad(12),ATUL GARG,854170,336965
4,Gautam Buddha Nagar(13),DR. MAHESH SHARMA,857829,559472
5,Bulandshahr(14),DR BHOLA SINGH,597310,275134
6,Aligarh(15),SATISH KUMAR GAUTAM,501834,15647
7,Hathras(16),ANOOP PRADHAN BALMIKI,554746,247318
8,Mathura(17),HEMAMALINI DHARMENDRA DEOL,510064,293407
9,Agra(18),PROF S P SINGH BAGHEL,599397,271294
10,Fatehpur Sikri(19),RAJKUMAR CHAHAR,445657,43405
11,Bareilly(25),CHHATRA PAL SINGH GANGWAR,567127,34804
12,Pilibhit(26),JITIN PRASADA,607158,164935
13,Shahjahanpur(27),ARUN KUMAR SAGAR,592718,55379
14,Hardoi(31),JAI PRAKASH,486798,27856
15,Misrikh(32),ASHOK KUMAR RAWAT,475016,33406
16,Unnao(33),SWAMI SACHCHIDANAND HARI SAKSHI,616133,35818
17,Lucknow(35),RAJ NATH SINGH,612709,135159
18,Farrukhabad(40),MUKESH RAJPUT,487963,2678
19,Kanpur(43),RAMESH AWASTHI,443055,20968
20,Akbarpur(44),DEVENDRA SINGH ALIAS BHOLE SINGH,517423,44345
21,Jhansi(46),ANURAG SHARMA,690316,102614
22,Phulpur(51),PRAVEEN PATEL,452600,4332
23,Baharaich(56),ANAND KUMAR,518802,64227
24,Kaiserganj(57),KARAN BHUSHAN SINGH,571263,148843
25,Gonda(59),KIRTIVARDHAN SINGH,474258,46224
26,Domariyaganj(60),JAGDAMBIKA PAL,463303,42728
27,Maharajganj(63),PANKAJ CHAUDHARY,591310,35451
28,Gorakhpur(64),RAVINDRA SHUKLA ALIAS RAVI KISHAN,585834,103526
29,Kushi Nagar(65),VIJAY KUMAR DUBAY,516345,81790
30,Deoria(66),SHASHANK MANI,504541,34842
31,Bansgaon(67),KAMLESH PASWAN,428693,3150
32,Varanasi(77),NARENDRA MODI,612970,152513
33,Bhadohi(78),DR. VINOD KUMAR BIND,459982,44072
