S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Kairana(2),IQRA CHOUDHARY,528013,69116
2,Muzaffarnagar(3),HARENDRA SINGH MALIK,470721,24672
3,Moradabad(6),RUCHI VIRA,637363,105762
4,Rampur(7),MOHIBBULLAH,481503,87434
5,Sambhal(8),ZIA UR REHMAN,571161,121494
6,Firozabad(20),AKSHAYA YADAV,543037,89312
7,Mainpuri(21),DIMPLE YADAV,598526,221639
8,Etah(22),DEVESH SHAKYA,475808,28052
9,Badaun(23),ADITYA YADAV,501855,34991
10,Aonla(24),NEERAJ MAURYA,492515,15969
11,Kheri(28),UTKARSH VERMA 'MADHUR',557365,34329
12,Dhaurahra(29),ANAND BHADAURIYA,443743,4449
13,Mohanlalganj(34),R.K. CHAUDHARY,667869,70292
14,Sultanpur(38),RAMBHUAL NISHAD,444330,43174
15,Pratapgarh(39),SHIV PAL SINGH PATEL (DR. S P SINGH),441932,66206
16,Etawah(41),JITENDRA KUMAR DOHARE,490747,58419
17,Kannauj(42),AKHILESH YADAV,642292,170922
18,Jalaun(45),NARAYAN DAS AHIRWAR,530180,53898
19,Hamirpur(47),AJENDRA SINGH LODHI,490683,2629
20,Banda(48),KRISHNA DEVI SHIVSHANKER PATEL,406567,71210
21,Fatehpur(49),NARESH CHANDRA UTTAM PATEL,500328,33199
22,Kaushambi(50),PUSHPENDRA SAROJ,509787,103944
23,Faizabad(54),AWADHESH PRASAD,554289,54567
24,Ambedkar Nagar(55),LALJI VERMA,544959,137247
25,Shrawasti(58),RAM SHIROMANI VERMA,511055,76673
26,Basti(61),RAM PRASAD CHAUDHARY,527005,100994
27,Sant Kabir Nagar(62),LAXMIKANT PAPPU NISHAD,498695,92170
28,Lalganj(68),DAROGA PRASAD SAROJ,439959,115023
29,Azamgarh(69),DHARMENDRA YADAV,508239,161035
30,Ghosi(70),RAJEEV RAI,503131,162943
31,Salempur(71),RAMASHANKAR RAJBHAR,405472,3573
32,Ballia(72),SANATAN PANDEY,467068,43384
33,Jaunpur(73),BABU SINGH KUSHWAHA,509130,99335
34,Machhlishahr(74),PRIYA SAROJ,451292,35850
35,Ghazipur(75),AFZAL ANSARI,539912,124861
36,Chandauli(76),BIRENDRA SINGH,474476,21565
37,Robertsganj(80),CHHOTELAL,465848,129234
