S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Coochbehar(1),JAGADISH CHANDRA BARMA BASUNIA,788375,39250
2,Jangipur(9),KHALILUR RAHAMAN,544427,116637
3,Baharampur(10),PATHAN YUSUF,524516,85022
4,Murshidabad(11),ABU TAHER KHAN,682442,164215
5,Krishnanagar(12),MAHUA MOITRA,628789,56705
6,Barrackpur(15),PARTHA BHOWMICK,520231,64438
7,Dum dum(16),SOUGATA RAY,528579,70660
8,Barasat(17),KAKOLI GHOSH DASTIDAR,692010,114189
9,Basirhat(18),SK NURUL ISLAM,803762,333547
10,Joynagar(19),PRATIMA MONDAL,894312,470219
11,Mathurapur(20),BAPI HALDAR,755731,201057
12,Diamond harbour(21),ABHISHEK BANERJEE,1048230,710930
13,Jadavpur(22),SAYANI GHOSH,717899,258201
14,Kolkata Dakshin(23),MALA ROY,615274,187231
15,Kolkata Uttar(24),BANDYOPADHYAY SUDIP,454696,92560
16,Howrah(25),PRASUN BANERJEE,626493,169442
17,Uluberia(26),SAJDA AHMED,724622,218673
18,Srerampur(27),KALYAN BANERJEE,673970,174830
19,Hooghly(28),RACHNA BANERJEE,702744,76853
20,Arambagh(29),BAG MITALI,712587,6399
21,Ghatal(32),ADHIKARI DEEPAK (DEV),837990,182868
22,Jhargram(33),KALIPADA SAREN (KHERWAL),743478,174048
23,Medinipur(34),JUNE MALIAH,702192,27191
24,Bankura(36),ARUP CHAKRABORTY,641813,32778
25,Bardhaman Purba(38),DR. SHARMILA SARKAR,720302,160572
26,Bardhaman-Durgapur(39),AZAD KIRTI JHA,720667,137981
27,Asansol(40),SHATRUGHAN PRASAD SINHA,605645,59564
28,Bolpur(41),ASIT KUMAR MAL,855633,327253
29,Birbhum(42),SATABDI ROY,717961,197650
