S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Alipurduars(2),MANOJ TIGGA,695314,75447
2,Jalpaiguri(3),DR JAYANTA KUMAR ROY,766568,86693
3,Darjeeling(4),RAJU BISTA,679331,178525
4,Raiganj(5),KARTICK CHANDRA PAUL,560897,68197
5,Balurghat(6),SUKANTA MAJUMDAR,574996,10386
6,Maldaha Uttar(7),KHAGEN MURMU,527023,77708
7,Ranaghat(13),JAGANNATH SARKAR,782396,186899
8,Bangaon(14),SHANTANU THAKUR,719505,73693
9,Tamluk(30),ABHIJIT GANGOPADHYAY,765584,77733
10,Kanthi(31),ADHIKARI SOUMENDU,763195,47764
11,Purulia(35),JYOTIRMAY SINGH MAHATO,578489,17079
12,Bishnupur(37),KHAN SAUMITRA,680130,5567
